categpry,vtype,priority,rank,project,origin commit,buggy commit,buggy path,buggy start,buggy end,fixer,fixer path,method,field,resolution,life_time,location_count,method_count,file_count,mark-vtype,mark-category,mark-all
SECURITY,SQL_PREPARED_STATEMENT_GENERATED_FROM_NONCONSTANT_STRING,3,15,commons-dbcp,a269efb91c7adad72d6158c1f90dbc0f2acdca2d,6e8bb66c7d8be9c2a0067629c711a833a0373b90,src/main/java/org/apache/commons/dbcp2/cpdsadapter/PooledConnectionImpl.java,557,557,7d5fcc9182c038e77e39511077d0ac3d005cc077,src/main/java/org/apache/commons/dbcp2/cpdsadapter/PooledConnectionImpl.java,prepareStatement(Ljava/lang/String;)Ljava/sql/PreparedStatement;,NO_FIELD,unfixed,520,2,5,36,TP,TP,TP
SECURITY,SQL_NONCONSTANT_STRING_PASSED_TO_EXECUTE,3,15,commons-dbcp,a269efb91c7adad72d6158c1f90dbc0f2acdca2d,1841d6a7c37dc0c65ebb0d6a0bd028ffc1a140ea,src/main/java/org/apache/commons/dbcp2/DelegatingStatement.java,217,217,e92a0374aff8f973cf29cb3f103224ddb87b127d,src/main/java/org/apache/commons/dbcp2/DelegatingStatement.java,execute(Ljava/lang/String;[I)Z,NO_FIELD,unfixed,326,3,5,76,TP,TP,TP
SECURITY,SQL_NONCONSTANT_STRING_PASSED_TO_EXECUTE,3,15,commons-dbcp,a269efb91c7adad72d6158c1f90dbc0f2acdca2d,1841d6a7c37dc0c65ebb0d6a0bd028ffc1a140ea,src/main/java/org/apache/commons/dbcp2/DelegatingStatement.java,341,341,e92a0374aff8f973cf29cb3f103224ddb87b127d,src/main/java/org/apache/commons/dbcp2/DelegatingStatement.java,executeUpdate(Ljava/lang/String;)I,NO_FIELD,unfixed,326,3,5,76,TP,TP,TP
SECURITY,SQL_NONCONSTANT_STRING_PASSED_TO_EXECUTE,3,15,commons-dbcp,a269efb91c7adad72d6158c1f90dbc0f2acdca2d,1841d6a7c37dc0c65ebb0d6a0bd028ffc1a140ea,src/main/java/org/apache/commons/dbcp2/PoolableConnectionFactory.java,370,370,e92a0374aff8f973cf29cb3f103224ddb87b127d,src/main/java/org/apache/commons/dbcp2/PoolableConnectionFactory.java,initializeConnection(Ljava/sql/Connection;)V,NO_FIELD,fixed,326,3,5,12,TP,TP,TP
SECURITY,SQL_NONCONSTANT_STRING_PASSED_TO_EXECUTE,3,15,commons-dbcp,a269efb91c7adad72d6158c1f90dbc0f2acdca2d,1841d6a7c37dc0c65ebb0d6a0bd028ffc1a140ea,src/main/java/org/apache/commons/dbcp2/DelegatingStatement.java,286,286,e92a0374aff8f973cf29cb3f103224ddb87b127d,src/main/java/org/apache/commons/dbcp2/DelegatingStatement.java,executeLargeUpdate(Ljava/lang/String;I)J,NO_FIELD,unfixed,326,3,5,76,TP,TP,TP
BAD_PRACTICE,DE_MIGHT_IGNORE,3,19,commons-dbcp,1d63534368672acce341a6a79a9d1dffbbe0d03a,6b811d33631392542ddf85e40c38123ceccb301b,src/main/java/org/apache/commons/dbcp2/PoolableConnectionFactory.java,620,620,64daff285605d317356c7919c1edf73e5a930d9a,src/main/java/org/apache/commons/dbcp2/PoolableConnectionFactory.java,setPool(Lorg/apache/commons/pool2/ObjectPool;)V,NO_FIELD,unfixed,318,1,2,12,TP,TP,TP
MALICIOUS_CODE,EI_EXPOSE_REP2,2,18,commons-dbcp,1d63534368672acce341a6a79a9d1dffbbe0d03a,7b320dbc2c3386f209bee217060936946c19dea4,src/main/java/org/apache/commons/dbcp2/managed/DataSourceXAConnectionFactory.java,104,104,d87c0a225d4f8511305edd471d39b9c30619d9a0,src/main/java/org/apache/commons/dbcp2/managed/DataSourceXAConnectionFactory.java,<init>(Ljavax/transaction/TransactionManager;Ljavax/sql/XADataSource;Ljava/lang/String;[CLjavax/transaction/TransactionSynchronizationRegistry;)V,userPassword,fixed,257,2,2,9,TP,TP,TP
SECURITY,SQL_PREPARED_STATEMENT_GENERATED_FROM_NONCONSTANT_STRING,3,15,commons-dbcp,31001566f826c18b3794256154225eb7c316d2fd,464afa386feee4efe4e9687a651ae49f01ec8dd7,src/main/java/org/apache/commons/dbcp2/DelegatingConnection.java,804,804,6b811d33631392542ddf85e40c38123ceccb301b,src/main/java/org/apache/commons/dbcp2/DelegatingConnection.java,prepareStatement(Ljava/lang/String;[Ljava/lang/String;)Ljava/sql/PreparedStatement;,NO_FIELD,unfixed,55,1,6,45,TP,TP,TP
MALICIOUS_CODE,EI_EXPOSE_REP,2,18,commons-dbcp,1d63534368672acce341a6a79a9d1dffbbe0d03a,7b320dbc2c3386f209bee217060936946c19dea4,src/main/java/org/apache/commons/dbcp2/DataSourceConnectionFactory.java,109,109,d87c0a225d4f8511305edd471d39b9c30619d9a0,src/main/java/org/apache/commons/dbcp2/DataSourceConnectionFactory.java,getUserPassword()[C,userPassword,fixed,257,2,2,2,TP,TP,TP
SECURITY,SQL_PREPARED_STATEMENT_GENERATED_FROM_NONCONSTANT_STRING,3,15,commons-dbcp,a269efb91c7adad72d6158c1f90dbc0f2acdca2d,6e8bb66c7d8be9c2a0067629c711a833a0373b90,src/main/java/org/apache/commons/dbcp2/cpdsadapter/PooledConnectionImpl.java,615,615,7d5fcc9182c038e77e39511077d0ac3d005cc077,src/main/java/org/apache/commons/dbcp2/cpdsadapter/PooledConnectionImpl.java,prepareStatement(Ljava/lang/String;II)Ljava/sql/PreparedStatement;,NO_FIELD,unfixed,520,2,5,36,TP,TP,TP
