categpry,vtype,priority,rank,project,origin commit,buggy commit,buggy path,buggy start,buggy end,fixer,fixer path,method,field,resolution,life_time,location_count,method_count,file_count,mark-vtype,mark-category,mark-all
BAD_PRACTICE,OS_OPEN_STREAM_EXCEPTION_PATH,3,19,commons-net,4379a6810227bf2eeba5860b62d42834d62e4413,950fa82b37651e1e77421cab9d7c29e194cbf4c4,src/main/java/org/apache/commons/net/ftp/FTPClient.java,668,668,e759649cdd49383c850d9d38eba21d0aab4df930,src/main/java/org/apache/commons/net/ftp/FTPClient.java,_storeFile(Ljava/lang/String;Ljava/lang/String;Ljava/io/InputStream;)Z,NO_FIELD,unfixed,1120,6,7,84,FP,FP,FP
DODGY_CODE,NP_LOAD_OF_KNOWN_NULL_VALUE,3,19,commons-net,4379a6810227bf2eeba5860b62d42834d62e4413,fdb5bf87703f194e242d1377e363769323ecd8ae,src/main/java/org/apache/commons/net/ftp/parser/MacOsPeterFTPEntryParser.java,218,218,1753c8720737290434bad9489dcfa9b944c9cb5e,src/main/java/org/apache/commons/net/ftp/parser/MacOsPeterFTPEntryParser.java,parseFTPEntry(Ljava/lang/String;)Lorg/apache/commons/net/ftp/FTPFile;,NO_FIELD,unfixed,1911,20,23,23,FP,FP,FP
MALICIOUS_CODE,MC_OVERRIDABLE_METHOD_CALL_IN_CONSTRUCTOR,3,20,commons-net,2b248a62e4148b5f92ec7c8d10a7eac1184bb015,46c9b97454b17150b3ee7b2de973eae4aed8522a,src/main/java/org/apache/commons/net/ftp/FTP.java,1720,1720,ae6392f4c58c2d24e24903a86ad8c90150b084f3,src/main/java/org/apache/commons/net/ftp/FTP.java,<init>()V,NO_FIELD,fixed,1,0,0,0,TP,TP,TP
I18N,DM_DEFAULT_ENCODING,1,19,commons-net,c2ceeda2055ecfa02ff7dd44ee2db0625fba246f,8f38680dc7b8d38256032fc5eeabb5a782db1189,src/main/java/org/apache/commons/net/imap/AuthenticatingIMAPClient.java,153,153,1e0cb7689adaeb5d6ce5129e43ff50036ef93fc3,src/main/java/org/apache/commons/net/imap/AuthenticatingIMAPClient.java,auth(Lorg/apache/commons/net/imap/AuthenticatingIMAPClient$AUTH_METHOD;Ljava/lang/String;Ljava/lang/String;)Z,NO_FIELD,unfixed,0,11,11,11,FP,FP,FP
DODGY_CODE,DB_DUPLICATE_SWITCH_CLAUSES,3,20,commons-net,e9d4d2b54e640897e3d12da30904d1c8c4b6a672,26bc12904f3b5d08e6238490607d98795a802ec8,src/main/java/org/apache/commons/net/ftp/parser/MLSxEntryParser.java,181,182,b0fa10294a77cec001214a4236b5ca440730368d,src/main/java/org/apache/commons/net/ftp/parser/MLSxEntryParser.java,parseFTPEntry(Ljava/lang/String;)Lorg/apache/commons/net/ftp/FTPFile;,NO_FIELD,unfixed,2,0,1,39,FP,FP,FP
BAD_PRACTICE,THROWS_METHOD_THROWS_CLAUSE_THROWABLE,2,16,commons-net,41bdc4e2626a9009b0a0be4d25e182d7929770a8,03f251f0fd62a84a56d4c5b26f60b6a746870299,src/main/java/examples/Main.java,46,108,0a3c3449fe484d17b04516d562226337c1b10255,src/main/java/examples/Main.java,main([Ljava/lang/String;)V,NO_FIELD,unfixed,48,7,9,10,FP,FP,FP
DODGY_CODE,PZLA_PREFER_ZERO_LENGTH_ARRAYS,3,20,commons-net,87ae91b48a06288678f98c4986af5114c223aae0,b21c46d641c1533da385ab341162bb3fe5883c41,src/main/java/org/apache/commons/net/ftp/FTPSClient.java,751,751,1f8cfe7d2b2306384243cae9a45de523f4e0a8f8,src/main/java/org/apache/commons/net/ftp/FTPSClient.java,parseADATReply(Ljava/lang/String;)[B,NO_FIELD,unfixed,275,0,18,136,FP,FP,FP
EXPERIMENTAL,OBL_UNSATISFIED_OBLIGATION,2,20,commons-net,12c952df0694b3df19d02a0fc072d5d1910b0a63,bacfee1ff2e6394fd3a3b8798a6b9d5a5bc61b86,src/main/java/org/apache/commons/net/ftp/FTPClient.java,388,388,ea7e093b073d517cadaf2c8b0a7a92b326af5dd7,src/main/java/org/apache/commons/net/ftp/FTPClient.java,<clinit>()V,NO_FIELD,unfixed,5,3,3,84,FP,FP,FP
DODGY_CODE,BC_UNCONFIRMED_CAST_OF_RETURN_VALUE,3,20,commons-net,4379a6810227bf2eeba5860b62d42834d62e4413,4ca6aa3f287b1765cc1532f5fadc01b145911a61,src/main/java/org/apache/commons/net/imap/IMAPSClient.java,191,191,65302de24316b21a3955265203c60cf663067743,src/main/java/org/apache/commons/net/imap/IMAPSClient.java,performSSLNegotiation()V,NO_FIELD,unfixed,550,11,19,58,FP,FP,FP
DODGY_CODE,PZLA_PREFER_ZERO_LENGTH_ARRAYS,3,20,commons-net,87ae91b48a06288678f98c4986af5114c223aae0,cd0770fee0fdb0faa55ed0118bfa95924c746a3b,src/main/java/org/apache/commons/net/ftp/FTPClient.java,2577,2577,addf9529dd35a7a01b3baee7472736dcff28d294,src/main/java/org/apache/commons/net/ftp/FTPClient.java,listNames(Ljava/lang/String;)[Ljava/lang/String;,NO_FIELD,unfixed,268,0,19,84,FP,FP,FP
